Domain Name                                                      	Current Bid 	Join By Date (ET)	Join By Date (PT)	Bidders 	Seller         	TLD     	Length	Words                                                                           	Word Count	Categories                                                                                                      	Hyphens 	Numbers 	Auction Type
717090.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717202.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717210.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717211.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717220.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717550.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717810.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717820.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717830.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717850.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717860.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717870.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717880.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
717890.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
7707.biz                                                         	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	OnlineNIC(R)   	.biz    	     4	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
891596.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	JapanReg       	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
9755666.com                                                      	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     7	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
bogglers.com                                                     	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     8	                                                                                	          	                                                                                                                	No      	No      	Available Soon
chinast.com                                                      	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	OnlineNIC(R)   	.com    	     7	                                                                                	          	                                                                                                                	No      	No      	Available Soon
ecasts.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Moniker(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	No      	Available Soon
fgck.net                                                         	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	JapanReg       	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
gcjn.net                                                         	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	JapanReg       	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
gqdm.net                                                         	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	JapanReg       	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
hqmr.net                                                         	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
jkxxx.com                                                        	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	JapanReg       	.com    	     5	                                                                                	          	                                                                                                                	No      	No      	Available Soon
kqwy.net                                                         	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	JapanReg       	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
lnkf.net                                                         	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	JapanReg       	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
mqym.net                                                         	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	JapanReg       	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
nnys.net                                                         	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
ocicats.com                                                      	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Register.com(R)	.com    	     7	                                                                                	          	                                                                                                                	No      	No      	Available Soon
pemaco.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	BlueHost.com   	.com    	     6	                                                                                	          	                                                                                                                	No      	No      	Available Soon
qnp.tv                                                           	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Tucows Inc.(R) 	.tv     	     3	                                                                                	          	                                                                                                                	No      	No      	Available Soon
roziroti.com                                                     	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.com    	     8	                                                                                	          	                                                                                                                	No      	No      	Available Soon
tempolibero.com                                                  	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Tucows Inc.(R) 	.com    	    11	                                                                                	          	                                                                                                                	No      	No      	Available Soon
tlxs.net                                                         	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
wdc.biz                                                          	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.biz    	     3	                                                                                	          	                                                                                                                	No      	No      	Available Soon
xfw.me                                                           	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.me     	     3	                                                                                	          	                                                                                                                	No      	No      	Available Soon
zmwg.net                                                         	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	JapanReg       	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
066800.com                                                       	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
770023.com                                                       	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
88882888.com                                                     	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.com    	     8	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
acjt.com                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.com    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
flexible.net                                                     	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.net    	     8	flexible                                                                        	          	                                                                                                                	No      	No      	Available Soon
gmxd.com                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Moniker(R)     	.com    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
hxgt.net                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
ksqr.net                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	BlueHost.com   	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
lfcs.net                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
longislandsearch.com                                             	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Moniker(R)     	.com    	    16	long island search                                                              	          	                                                                                                                	No      	No      	Available Soon
physics2005.org                                                  	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Dotster.com (R)	.org    	    11	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
ppu.co                                                           	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Domainbox (R)  	.co     	     3	                                                                                	          	                                                                                                                	No      	No      	Available Soon
sidetalk.com                                                     	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	BigRock Solutio	.com    	     8	side talk                                                                       	          	                                                                                                                	No      	No      	Available Soon
ssdservers.com                                                   	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Moniker(R)     	.com    	    10	                                                                                	          	                                                                                                                	No      	No      	Available Soon
tfz.biz                                                          	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.biz    	     3	                                                                                	          	                                                                                                                	No      	No      	Available Soon
twyh.net                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Moniker(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
webz.org                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.org    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
wkhz.net                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
wzrh.net                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
xnyh.net                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
xpyn.net                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Moniker(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
xykp.net                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
ybxn.net                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
ymwp.net                                                         	         69 	 12/18/2015 00:00	 12/17/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
138153.com                                                       	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
898888888.com                                                    	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Directi(R)     	.com    	     9	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
9798888.com                                                      	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Directi(R)     	.com    	     7	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
affordablehybrids.com                                            	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Moniker(R)     	.com    	    17	affordable hybrids                                                              	          	                                                                                                                	No      	No      	Available Soon
bwxh.net                                                         	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	JapanReg       	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
cddf.net                                                         	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Domainbox (R)  	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
computadoras.net                                                 	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Directi(R)     	.net    	    12	                                                                                	          	                                                                                                                	No      	No      	Available Soon
dqxr.net                                                         	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
dysx.net                                                         	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
fzqh.net                                                         	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
jrtl.com                                                         	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Directi(R)     	.com    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
npwn.net                                                         	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	OnlineNIC(R)   	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
prdf.net                                                         	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	TierraNet(R)   	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
rtjr.net                                                         	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
sexynudes.com                                                    	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Directi(R)     	.com    	     9	                                                                                	          	                                                                                                                	No      	No      	Available Soon
zxjr.net                                                         	         69 	 12/19/2015 00:00	 12/18/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
022266.com                                                       	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
022299.com                                                       	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
226609.com                                                       	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
600920.com                                                       	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
800992.com                                                       	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Directi(R)     	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
adportal.com                                                     	         69 	 12/20/2015 00:00	 12/19/2015 21:00	        	Tucows Inc.(R) 	.com    	     8	                                                                                	          	                                                                                                                	No      	No      	Available Soon
